PERSONAJE,GLOSA
Añanguazú,"Refiere a Añaguazu, jefe guaraní."
Cherandies,"Refiere a los querandíes. Querandíes, grupo étnico del noreste de la región pampeana de la actual Argentina al tiempo de la llegada de los primeros colonizadores europeos en el siglo XVI"
Beaguas,Los mbeguaes o beguaes fueron un pueblo indígena que a la llegada de los primeros exploradores españoles en el siglo XVI se hallaban en Argentina en las islas del delta del Paraná en el sur de la provincia de Entre Ríos. Formaban parte del grupo de los chaná-timbúes.
Caytuá,Cacique beaguas
Beguaes,Los mbeguaes o beguaes fueron un pueblo indígena que a la llegada de los primeros exploradores españoles en el siglo XVI se hallaban en Argentina en las islas del delta del Paraná en el sur de la provincia de Entre Ríos. Formaban parte del grupo de los chaná-timbúes.
Pierio,"Refiere a las Piérides, de la mitología griega, que eran las hijas de Píero, rey de Macedonia y de Evipe, una de las danaides; estas eran nueve doncellas dotadas con un excepcional talento para la música, el canto y la poesía."
Filomena,"Refiere a Filomena, de la mitología griega, hija del rey de Atenas, Pandión, y tenía una hermana conocida como Procne."
Teseo,"Refiere a Tereo, rey de la mitología griega, hijo del dios guerrero Ares y gobernador de Tracia (tierra bárbara), fue quien violó a su cuñada, la princesa ateniense Filomena, por lo cual, fue blanco de la terrible venganza de esta y su hermana, Procne. Los tres fueron convertidos en pájaros por los dioses."
Minerva,"Refiere, según la mitología romana, a Minerva, diosa de la sabiduría y de las artes, además de ser la protectora de Roma y patrona de los artesanos. En la mitología griega corresponde con Atenea, como diosa guerrera."
Apolo,"Refiere a Apolo, una de las deidades principales de la mitología griega, y uno de los dioses olímpicos más significativos. Hijo de Zeus y Leto, gemelo de Artemisa. Era considerado dios de las artes, del arco y la flecha, que amenazaba o protegía desde lo alto de los cielos, identificado con la luz de la verdad."
indias,
Garay,"Juan de Garay (1528 - 1583) fue un hidalgo, explorador, conquistador y gobernante colonial español. Se destacó por su actuación en la gobernación del Río de la Plata y del Paraguay por haber sido el fundador de la ciudad de Santa Fe en 1573 en su primera ubicación, por lo cual fue asignado al año siguiente como su teniente de gobernador, para convertirse en 1577 en el teniente de gobernador general de Asunción. En 1580 fundó la ciudad de Buenos Aires, con el nombre de Ciudad de la Trinidad, en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de Real de Nuestra Señora Santa María del Buen Ayre.|Juan de Garay (1528 - 1583) fue un conquistador y gobernante colonial español. Se destacó por haber sido el fundador de la ciudad de Santa Fe en 1573. En 1580 fundó la ciudad de Buenos Aires, con el nombre de Ciudad de la Trinidad, en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de Real de Nuestra Señora Santa María del Buen Ayre."
Charruas,Los charrúas constituían una sociedad de cazadores-recoletores que habitaban en los actuales territorios de Uruguay.
Garay,"Juan de Garay (1528 - 1583) fue un conquistador y gobernante colonial español. Se destacó por haber sido el fundador de la ciudad de Santa Fe en 1573. En 1580 fundó la ciudad de Buenos Aires, con el nombre de Ciudad de la Trinidad, en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de Real de Nuestra Señora Santa María del Buen Ayre."
Zapican,"Refiere a Zapicán (ca. 1500 – febrero de 1574), cacique del pueblo Charrúa, conocido por haber vencido a los conquistadores españoles comandados por el Adelantado Juan Ortiz de Zárate en el Combate de San Gabriel en 1573.​"
Charrua,Los charrúas constituían una sociedad de cazadores-recoletores que habitaban en los actuales territorios de Uruguay.
Capitan,"Refiere a Juan de Garay (1528 - 1583) fue un hidalgo, explorador, conquistador y gobernante colonial español. Se destacó por su actuación en la gobernación del Río de la Plata y del Paraguay por haber sido el fundador de la ciudad de Santa Fe en 1573 en su primera ubicación, por lo cual fue asignado al año siguiente como su teniente de gobernador, para convertirse en 1577 en el teniente de gobernador general de Asunción. En 1580 fundó la ciudad de Buenos Aires, con el nombre de Ciudad de la Trinidad, en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de Real de Nuestra Señora Santa María del Buen Ayre."
Leiva,Refiere a Antonio Leiva.
Menialvo,Refiere a Juan Menialvo.
Abayubá,Cacique charrúa
Añagualpo,Refiere al cacique charrúa Anagualpo.
Vizcaino,Refiere a Juan Vizcaíno.
Yandinoca,"Refiere a Yandiyoca, cacique charrúa."
Arevalo,Cristobal de Arévalo fue alcalde de Santa Fé y participe como traidor contra los criollos de la revolución de los Siete Jefes.
Aguilera,"Sebastián de Aguilera, fiador del alcalde de Santa Fe."
Mateo Gil,"Refiere a Mateo Gil, nacido en Jaraicejo, fue miembro de la expedición de Pedro de Mendoza. Luchó con Garay en la expedición a una isla cercana a la de Martín García en la primavera de 1574. "
Hernan Ruiz,"Refiere a Hernán Ruiz, militar español proveniente de Córdoba, que partió hacia América en la armada de Ortiz de Zárate. "
Magaluna,"Refiere a Magalona, cacique charrúa."
Juan de Osuna,
Juan Sanchez,
zapicanos,
Rasquin,
Caraballo,
Charruaha,Indígenas charrúas
zaratina,Refiere a quienes acompañaron a Juan Ortiz de Zárate en su expedición.
zapican,"Refiere a Zapicán (ca. 1500 – febrero de 1574), cacique del pueblo Charrúa, conocido por haber vencido a los conquistadores españoles comandados por el Adelantado Juan Ortiz de Zárate en el Combate de San Gabriel en 1573."
Guaranì,"Refiere a Los guaraníes o avá, según su autodenominación étnica original (que significa ""ser humano""), son un grupo de pueblos que se ubican geográficamente en Paraguay, noreste de Argentina,​ sur y suroeste de Brasil, sureste de Bolivia y norte de Uruguay. El nombre significa en guaraní guerrero, ava que significa hombre y se pronuncia en forma grave entre los chiriguanos (ava guaraníes). Eran cultivadores selvícolas."
Garay,"Juan de Garay (1528 - 1583) fue un hidalgo, explorador, conquistador y gobernante colonial español. Se destacó por su actuación en la gobernación del Río de la Plata y del Paraguay por haber sido el fundador de la ciudad de Santa Fe en 1573 en su primera ubicación, por lo cual fue asignado al año siguiente como su teniente de gobernador, para convertirse en 1577 en el teniente de gobernador general de Asunción. En 1580 fundó la ciudad de Buenos Aires, con el nombre de Ciudad de la Trinidad, en el lugar donde en 1536 Pedro de Mendoza había fundado un fuerte con el nombre de Real de Nuestra Señora Santa María del Buen Ayre."
Vizcayno,Refiere a Juan Ortiz de Zárate.
Cayú,"Refiere al cacique guaraní, Cayú o Kayú."
Chanaes,"Los chanaes o chanás fueron un pueblo indígena vinculado a la etnia charrúa que habitaba en la confluencia del río Negro con el río Uruguay, las orillas e islas del curso inferior este último (República Oriental del Uruguay), las islas del Delta del Paraná, las islas y riberas del río Paraná entre las provincias de Entre Ríos, Santa Fe, Buenos Aires y hasta en la de Corrientes (Argentina). Hablaban el idioma chaná,​ de la familia charrúa."
Guaraní,"Refiere a Los guaraníes o avá, según su autodenominación étnica original (que significa ""ser humano""), son un grupo de pueblos que se ubican geográficamente en Paraguay, noreste de Argentina,​ sur y suroeste de Brasil, sureste de Bolivia y norte de Uruguay. El nombre significa en guaraní guerrero, ava que significa hombre y se pronuncia en forma grave entre los chiriguanos (ava guaraníes). Eran cultivadores selvícolas."
Cayù,"Refiere a cacique guaraní, Cayú o Kayú."
Chavarria,"Refiere a Chabarria o Chavarria, fue prisionero de los charruas y luego vendido a los channaes."
Juan Gago,"Refiere a Juan Gago, oriundo de Guadalupe, llegó al Río de la Plata con la expedición de Juan Ortiz de Zárate, era criado de Del Barco Centenera."
Virgen purìsima Maria     De Guadalupe,"Refiere a la Virgen de Guadalupe o Nuestra Señora de Guadalupe, se trató de una aparición de la virgen María en Tepeyac, México."
Juan Barros,"Refiere a Juan Barros, quien de niño había sido cautivo de los indios chanaes durante la expedición de Pedro de Mendoza, en 1536."
D. Pedro,"Pedro de Mendoza y Luján (Cádiz, 1499 - Oc. Atlántico, 1537), noble español, con destacada actividad militar en las campañas del rey. Designado gobernador y primer adelantado del Río de la Plata por el rey. Llegando a esas costas en 1536, allí establació el puerto Nuestra Señora del Buen Ayre. Delegó gran parte de las tareas de exploración de la región en su teniente gobernador, Juan de Ayolas. Abandonó la conquista debido al hambre, a los ataques de los nativos y por no tener noticias de su teniente."
Chiriguanaes,"Los chiriguanos componían la parcialidad más occidental de los guaraníes, asentados en actual territorio boliviano sobre los contrafuertes andinos. Ruy Díaz dirigió varias campañas en su contra."
Juan de Barros,"Refiere a Juan Barros, quien de niño había sido cautivo de los indios chanaes durante la expedición de Pedro de Mendoza, en 1536."
Seràfico Francisco,Refiere a San Francisco de Asis. 
Agaz,"Refiere a los agaces, sociedad nativa que habitaba en el curso inferior del río Paraguay. Pertenecían al tronco lingüístico mataco-guaycurú, eran muy hábiles canoeros y pescadores. Solían tener conflictos con los guaraníes carios que vivían río arriba y luego por extensión con los cristianos de Asunción."
Yamandú,
Toledo,"Refiere a Francisco Álvarez de Toledo (1515-1582), quinto Virrey del Perú entre 1569 y 1581."
Don Diego,"Refiere a Diego de Mendoza (Asunción, 1540 – Potosí, 1571), conquistador y colonizador español, hijo del gobernador de Asunción Francisco Mendoza y de María de Angulo. Hermano de Elvira de Mendoza, quien fue esposa de Ñuflo de Chaves. Su esposa fue Ana de la Torre, sobrina del obispo del Paraguay."
Diego de Mendoza,"Refiere a Diego de Mendoza (Asunción, 1540 – Potosí, 1571), conquistador y colonizador español, hijo del gobernador de Asunción Francisco Mendoza y de María de Angulo. Hermano de Elvira de Mendoza, quien fue esposa de Ñuflo de Chaves. Su esposa fue Ana de la Torre, sobrina del obispo del Paraguay."
Francisco de Toledo,"Francisco Álvarez de Toledo (1515-1582), quinto Virrey del Perú entre 1569 y 1581."
Adam,"Refiere a Adán, quien según la Biblia y el Corán, fue el primer hombre creado por Dios."
Satan,"Refiere a Satanás o Satán, quien según las religiones abrahámicas representa una entidad negativa que seduce a los humanos al pecado o la falsedad. En el cristianismo y el Islam, generalmente se lo ve como a un ángel caído que solía poseer una gran piedad y belleza, sin embargo se terminó revelando ante Dios por lo cual fue desterrado al infierno, convirtiéndose en el gobernante y líder opositor al Reino de Dios. En el judaísmo, Satanás se considera una metáfora de ""inclinación al mal"", o como un agente subordinado a Dios."
Eva,"Refiere a Eva, quien según las religiones abrahámicas fue la primera mujer (y el segundo ser humano) creado por Dios sobre la Tierra."
D. Diego,"Refiere a Diego de Mendoza (Asunción, 1540 – Potosí, 1571), conquistador y colonizador español, hijo del gobernador de Asunción Francisco Mendoza y de María de Angulo. Hermano de Elvira de Mendoza, quien fue esposa de Ñuflo de Chaves. Su esposa fue Ana de la Torre, sobrina del obispo del Paraguay. Ejecutado por orden del virrey Toledo."
Zurita,"Refiere a Juan Pérez de Zurita o Juan Pérez de Zorita (Córdoba, 1516 - La Plata, 1584), militar que participó en la conquista del actual territorio del Noroeste argentino a mediados del siglo XVI, nombrado teniente de gobernador general de Santiago del Estero, subordinado a la Capitanía General de Chile, desde 1558 hasta 1561. Fundador de numerosas ciudades en la región."
